study_hours,sleep_hours,break_frequency,concentration_level,burnout_risk
6.5,12.9,34,2,0.44
8.4,7.5,16,2,54.22
5.8,7.9,18,1,27.42
6.6,6.6,41,2,35.18
5.2,7.1,10,1,48.93
7.5,5.4,34,3,41.29
15.3,6.2,21,2,97.02
7.7,7.6,59,4,18.43
6.1,13.6,17,2,1.67
7.2,8.6,52,4,16.07
18.8,11.3,42,3,71.61
9.7,7.6,20,5,30.5
9.6,6.5,52,3,41.8
9.2,6.6,32,3,51.38
18.3,12.2,16,5,56.33
6.8,7.0,40,4,25.49
12.7,14.4,20,5,16.54
2.1,13.4,16,1,0.0
16.3,10.2,5,1,86.32
7.4,7.9,23,3,32.72
7.3,7.7,10,3,30.39
7.9,8.0,10,2,47.39
9.3,6.8,22,3,46.19
7.8,3.6,52,2,49.94
4.1,12.6,32,5,0.0
8.8,8.1,16,5,27.73
7.6,7.6,35,1,41.68
19.8,6.3,31,1,100.0
6.9,6.7,50,1,39.66
9.3,6.8,53,3,29.33
6.6,10.3,12,2,23.08
16.1,6.9,15,5,61.06
16.1,7.6,11,5,70.15
8.5,3.3,26,4,48.35
15.7,4.7,24,5,81.79
9.4,6.3,23,1,64.32
9.1,10.6,6,3,38.04
6.1,6.5,53,3,20.89
9.3,6.9,49,4,25.38
10.8,6.4,31,5,40.2
9.2,7.8,60,3,39.4
13.4,4.7,29,4,67.52
6.3,6.5,50,4,21.2
8.4,6.2,15,2,51.25
8.2,13.5,13,2,19.02
7.0,8.0,30,4,13.86
7.8,2.3,35,5,50.87
7.1,14.8,45,5,0.0
6.8,6.4,53,3,29.48
7.7,8.5,53,3,17.53
8.7,14.0,60,1,12.66
3.2,4.7,15,1,37.15
10.6,9.1,16,1,56.68
6.1,3.9,47,5,9.92
9.2,6.5,14,5,30.3
4.1,10.2,30,4,0.0
7.6,2.4,13,4,51.33
6.8,14.0,22,3,0.0
15.3,3.7,29,3,92.34
9.5,6.1,22,1,68.79
9.6,9.5,47,4,25.68
5.1,3.2,53,4,21.95
9.7,6.4,48,1,61.51
15.3,4.9,58,2,82.23
7.4,4.0,18,5,41.8
6.8,7.7,31,3,25.75
6.0,7.0,26,3,31.19
8.9,6.8,40,5,31.98
6.7,6.8,21,5,10.04
2.7,6.2,16,1,26.07
5.5,2.2,18,4,44.76
8.6,7.8,10,4,25.03
12.2,11.2,14,5,28.49
9.5,3.0,47,4,52.95
8.8,7.4,49,5,13.33
7.9,7.7,18,5,21.41
10.7,10.8,26,4,26.53
6.9,7.8,49,5,20.89
5.8,6.2,7,4,18.03
7.1,6.0,12,1,61.37
10.0,7.9,42,5,32.07
14.3,8.6,57,3,47.77
14.1,7.2,40,1,86.05
7.6,7.0,9,2,44.08
7.2,6.9,38,2,43.22
8.8,14.9,5,5,9.01
17.1,6.9,9,5,72.73
4.9,7.4,17,3,14.97
11.7,7.4,30,1,66.85
6.8,6.0,50,1,54.44
9.3,6.0,46,5,39.12
8.5,6.9,38,1,54.72
10.1,3.3,47,3,47.66
7.8,6.2,35,3,33.23
8.4,6.3,55,5,28.16
7.0,12.5,42,2,21.72
6.3,2.7,26,3,46.7
9.4,8.7,32,4,26.9
8.2,7.3,59,5,15.8
4.4,5.0,14,4,30.76
9.1,14.4,24,5,0.0
8.7,6.2,51,3,41.06
7.5,6.9,16,5,17.31
16.0,6.2,22,3,85.88
14.3,6.7,41,2,73.17
6.7,7.0,41,1,38.35
9.1,10.6,13,5,11.66
9.1,7.3,31,1,54.67
9.6,4.2,58,1,61.17
9.0,13.8,48,5,0.0
8.3,6.1,48,2,42.6
7.7,9.8,21,4,23.75
6.4,6.1,6,4,27.68
8.7,14.6,5,5,0.0
9.0,6.8,46,5,17.2
7.0,7.5,49,5,8.87
8.0,8.6,19,4,25.77
6.8,6.6,16,3,27.01
9.1,14.3,22,2,17.59
9.9,14.2,28,4,7.15
8.6,6.7,37,5,32.15
7.8,6.8,47,1,50.83
9.8,13.8,60,5,0.0
9.5,6.5,52,3,31.26
14.3,2.2,40,1,96.88
8.6,5.7,35,4,26.5
9.1,7.0,24,2,58.14
9.3,6.6,42,2,45.22
14.8,7.9,32,3,76.32
7.7,6.7,15,3,39.49
8.8,7.7,31,2,52.87
6.5,7.4,12,3,27.48
7.1,13.7,17,1,29.12
4.8,10.2,25,5,0.0
9.5,13.7,7,1,34.44
7.1,4.8,58,5,30.35
8.2,8.9,41,5,11.35
7.3,13.2,56,5,0.0
9.9,6.4,53,2,45.52
8.8,7.6,47,3,28.06
6.1,6.7,11,3,33.21
4.2,11.7,19,5,0.0
13.2,7.3,9,4,52.85
6.4,2.6,58,1,57.63
11.9,3.3,38,2,67.84
6.3,7.9,23,3,19.76
6.7,3.0,37,3,35.8
7.1,7.9,7,4,36.12
6.2,2.5,50,2,52.08
7.8,6.7,9,5,26.34
10.7,4.8,23,1,76.38
8.1,7.6,46,4,15.65
7.0,9.2,6,4,19.86
6.6,5.6,10,2,37.47
9.0,6.1,43,5,33.95
7.6,6.2,18,5,29.58
6.5,13.9,8,2,12.81
9.2,6.2,24,2,59.89
8.6,7.9,5,2,29.19
8.1,10.4,38,3,18.8
9.1,8.0,33,2,41.78
6.9,4.7,43,1,42.28
6.2,7.4,49,4,14.43
9.2,8.0,56,3,36.64
7.6,9.5,57,1,22.6
7.4,6.2,34,1,37.35
14.8,10.0,56,4,45.46
6.8,10.2,15,2,26.19
5.2,6.9,52,1,23.9
8.8,7.1,24,5,31.27
6.1,6.6,41,1,42.36
7.5,5.3,25,5,23.38
8.9,13.3,29,3,7.56
7.6,6.4,40,1,49.76
6.3,6.3,8,3,31.23
12.4,6.2,27,2,75.29
7.6,6.1,10,2,49.48
8.5,2.7,30,2,64.1
9.3,6.5,32,3,32.83
7.0,4.3,28,4,46.3
9.4,11.0,44,3,22.97
7.1,6.8,53,2,29.03
6.1,7.7,37,4,18.83
8.6,7.5,30,5,17.19
7.9,14.4,30,4,0.0
7.8,6.0,29,4,35.45
8.4,8.4,34,4,19.36
8.9,5.4,42,4,31.26
12.0,4.6,40,1,70.9
8.0,6.4,24,3,35.08
8.8,4.8,57,1,66.96
9.7,7.1,40,2,35.16
7.2,12.6,9,1,31.49
9.5,13.9,36,4,2.54
10.2,8.0,46,3,47.94
7.4,9.5,34,1,37.39
11.0,7.3,46,4,37.11
6.9,7.5,31,1,53.87
14.8,12.2,28,1,62.48
7.3,2.5,56,4,36.05
8.7,5.1,25,3,52.58
6.4,9.6,5,3,24.79
8.0,6.8,20,1,59.46
14.1,10.3,18,2,60.01
7.8,15.0,14,5,0.0
6.5,6.8,32,5,8.6
6.6,6.2,40,5,8.76
6.2,10.3,23,5,0.0
8.9,7.7,16,4,37.32
8.7,11.4,22,3,31.97
12.4,12.9,58,1,47.34
7.0,14.5,19,3,2.56
6.5,10.3,23,5,0.0
9.3,9.9,44,1,37.88
9.0,6.2,22,3,48.76
9.4,7.0,32,1,66.18
1.2,7.0,21,2,8.6
7.9,13.7,55,2,10.16
6.1,9.7,25,3,16.12
6.7,13.0,32,5,0.0
8.6,6.7,20,1,62.96
7.1,10.6,30,3,20.72
8.1,2.3,23,5,44.04
5.4,9.4,5,5,0.0
13.7,9.9,33,4,43.93
6.7,13.5,26,2,5.43
9.2,7.2,36,5,21.29
8.2,7.4,48,1,38.43
17.7,7.6,22,1,100.0
7.2,3.2,40,2,47.13
12.0,6.9,11,2,69.2
9.5,7.7,56,5,24.5
8.3,6.4,12,4,37.36
13.6,6.0,53,2,76.68
8.8,7.4,48,2,45.97
8.5,10.6,17,1,43.12
6.3,8.3,10,2,33.22
8.5,6.4,18,1,66.81
3.3,13.3,44,5,0.0
9.0,7.1,5,1,56.01
6.2,5.0,24,3,47.52
14.1,4.6,53,1,80.38
14.5,11.9,23,4,42.08
13.9,12.1,27,5,31.33
19.1,3.9,11,1,100.0
8.7,5.1,27,2,55.9
8.4,2.1,29,3,53.64
8.4,7.0,53,1,40.42
17.3,14.7,43,5,34.11
6.7,5.1,11,3,48.18
9.5,7.4,37,3,36.49
8.4,7.3,56,2,37.46
7.9,6.2,16,2,54.78
7.9,7.1,22,5,24.49
8.2,7.7,37,3,22.24
8.7,6.6,51,5,12.63
9.0,4.1,47,5,36.89
7.1,6.3,49,1,42.87
6.9,7.7,8,4,27.9
2.5,6.5,44,1,24.49
9.5,7.9,50,2,42.53
7.1,7.1,30,2,35.49
9.5,6.7,39,4,38.45
9.3,13.0,46,5,0.0
6.8,6.4,55,4,22.05
6.1,8.3,57,3,13.51
7.5,7.6,27,3,27.74
6.3,9.5,32,5,4.03
9.5,6.6,39,3,41.9
7.7,10.1,26,4,6.99
15.4,6.7,40,5,56.46
9.0,12.4,12,1,31.49
4.0,11.5,10,5,0.0
8.4,4.1,44,3,50.15
10.1,7.8,6,5,28.12
19.5,3.6,16,4,100.0
4.1,7.5,33,1,25.84
7.1,6.1,15,1,52.24
7.8,7.4,58,1,31.4
6.3,10.5,56,1,15.25
9.9,7.4,23,2,51.66
2.8,6.9,49,5,0.0
8.7,6.0,59,3,37.1
8.9,8.4,7,4,37.4
6.8,6.7,53,4,18.14
5.8,9.7,50,4,6.88
9.6,6.0,25,3,45.74
7.0,6.5,30,2,34.9
8.3,6.0,31,3,38.68
8.4,2.7,33,4,52.89
14.4,6.4,18,5,65.05
15.0,2.6,5,1,100.0
8.6,6.3,54,4,29.21
9.1,7.1,23,3,34.55
2.7,2.9,40,4,19.22
4.1,4.2,10,4,31.23
7.4,6.6,56,1,34.06
17.9,7.0,17,2,96.88
7.3,7.5,23,4,19.06
6.4,6.6,47,4,24.24
8.5,8.2,8,1,49.02
7.9,7.2,54,1,45.58
7.6,9.6,28,3,25.04
14.8,6.6,41,3,74.45
15.7,6.2,45,4,67.21
7.4,5.5,36,2,34.28
7.7,10.8,56,5,0.0
10.7,6.3,26,2,59.81
4.6,12.5,36,1,0.0
7.7,6.5,21,4,25.65
5.4,7.0,42,1,27.82
8.0,6.8,18,5,24.57
8.5,6.6,57,2,32.13
9.6,7.9,17,4,39.35
7.6,7.8,27,1,41.97
7.3,7.7,25,1,49.57
13.0,7.1,31,4,57.1
8.6,8.8,10,5,26.69
8.3,9.3,16,4,12.01
1.7,7.7,53,4,0.0
9.4,12.9,14,4,19.87
7.2,12.5,23,1,33.16
8.6,8.0,16,2,43.35
8.1,14.1,41,2,6.76
8.3,7.8,45,2,34.73
7.0,8.0,57,2,23.63
8.0,6.7,15,2,57.92
8.1,7.2,16,2,43.09
8.6,7.6,53,3,22.53
7.8,6.7,52,3,23.53
8.8,6.8,54,1,55.63
13.9,3.3,10,4,93.41
10.8,8.1,30,3,49.95
6.5,14.9,16,3,0.0
6.8,8.0,7,1,57.58
8.9,7.5,29,2,40.91
7.5,13.0,45,2,5.86
8.4,8.0,56,4,15.35
3.0,7.2,8,2,21.35
6.1,12.6,27,3,11.17
7.5,5.8,60,3,37.47
7.5,6.6,5,3,38.3
17.7,6.0,8,5,83.91
9.3,6.7,21,2,59.18
6.8,11.2,13,5,0.0
7.9,9.6,22,2,25.51
8.2,4.8,21,3,47.44
7.9,7.0,21,4,23.98
7.1,3.1,23,4,45.87
14.2,7.9,44,4,60.25
9.4,3.0,25,5,45.66
7.2,5.7,38,5,21.36
6.8,7.4,35,1,39.38
7.6,9.1,32,2,36.98
14.4,6.5,26,5,56.86
9.8,14.0,60,4,0.0
9.6,9.6,52,2,41.59
14.2,11.9,56,4,28.61
8.6,6.7,40,5,28.51
9.8,13.2,38,4,10.9
6.0,7.6,57,2,25.65
7.7,6.6,15,2,46.38
7.1,6.3,11,5,29.72
6.9,6.7,58,2,32.67
6.6,7.6,26,3,21.62
9.7,3.0,25,3,70.6
8.3,6.1,47,3,44.59
9.5,10.4,43,3,14.95
8.4,3.1,15,1,74.71
11.6,6.5,11,4,54.9
8.8,6.8,7,2,64.19
6.6,3.4,43,3,38.72
2.8,7.0,51,3,5.16
6.1,7.1,40,5,5.19
17.9,7.8,22,5,70.35
3.9,6.7,11,2,39.03
16.1,7.0,34,1,85.85
17.9,12.3,55,4,50.0
6.8,6.8,52,1,40.72
5.3,7.9,31,5,2.21
7.0,6.6,45,2,25.47
8.6,4.1,6,3,43.5
7.2,2.9,22,1,61.82
18.9,6.9,25,2,100.0
8.4,12.4,34,2,19.15
8.3,6.1,47,3,32.61
14.5,12.1,14,1,68.12
7.7,7.8,29,3,43.9
9.8,7.2,44,5,29.35
7.4,7.2,42,2,33.75
7.7,12.3,46,3,5.4
6.5,9.4,23,3,25.4
9.5,7.5,17,1,51.2
7.0,7.7,57,3,15.63
13.9,8.1,56,3,55.62
9.8,12.2,41,4,10.25
9.9,12.8,29,5,9.73
7.3,11.7,9,5,9.4
7.2,7.0,8,3,44.48
2.7,7.1,22,5,0.0
7.6,7.7,50,4,10.28
8.5,2.8,40,3,49.24
6.4,6.6,54,1,39.42
7.4,10.6,16,2,25.06
10.4,7.3,21,4,44.99
11.4,8.0,51,5,24.77
7.3,10.7,42,2,22.96
8.9,14.3,25,5,0.0
9.8,6.9,19,2,71.01
6.2,6.9,21,2,28.5
10.6,6.6,21,2,69.39
7.3,6.1,52,4,28.52
7.7,6.2,18,3,46.57
9.2,7.6,33,1,47.46
8.5,9.1,37,5,11.04
14.2,2.7,39,2,97.46
9.6,11.5,19,5,9.35
5.7,7.4,21,3,22.47
6.8,6.3,16,2,38.4
6.6,6.8,53,5,15.18
9.6,14.0,57,2,0.73
8.7,7.5,47,3,39.65
6.1,8.5,9,1,47.77
6.6,7.8,19,1,42.42
7.5,14.5,49,1,0.0
7.0,6.2,45,4,29.68
8.7,4.1,54,1,64.89
9.8,7.6,49,1,52.14
9.4,12.8,39,3,24.85
19.4,6.5,38,5,84.91
12.2,6.5,24,2,66.93
9.7,13.4,6,3,28.7
9.7,12.8,30,2,33.36
8.0,4.9,5,3,50.25
6.5,13.3,9,4,0.0
8.5,7.5,36,2,36.53
4.2,8.2,6,4,12.04
4.5,6.9,30,1,33.27
2.7,14.3,14,2,0.0
6.8,12.4,49,3,5.1
8.8,8.0,20,2,44.97
7.4,14.3,31,3,0.0
9.6,6.6,17,1,53.13
6.6,10.9,28,5,0.0
7.8,7.2,25,3,29.43
6.5,6.1,9,2,43.49
5.4,7.9,18,1,35.12
16.1,10.3,22,5,50.92
8.6,9.7,55,1,34.94
6.5,6.4,47,1,49.26
8.6,8.6,43,5,16.21
13.9,9.1,33,4,49.75
9.1,6.1,45,3,41.72
7.2,3.0,59,3,31.26
2.4,6.5,22,1,27.65
15.0,7.9,13,5,61.62
7.0,5.4,19,1,58.5
9.0,11.7,45,2,29.13
6.5,6.8,5,4,32.8
9.8,7.4,20,4,42.75
8.6,9.5,39,5,17.26
19.2,6.5,19,4,89.66
8.1,7.3,22,5,24.55
7.7,6.9,40,3,29.59
8.2,6.0,42,2,45.36
8.1,7.6,24,2,45.56
6.5,2.4,16,5,35.15
9.1,11.9,46,3,10.48
2.1,11.2,39,3,0.0
9.6,7.5,15,3,46.19
6.6,7.8,25,3,28.72
17.7,4.3,20,1,100.0
8.5,6.8,7,1,66.89
6.5,9.6,38,4,5.45
6.7,6.2,28,5,24.42
6.5,5.6,20,1,47.49
16.8,13.3,41,2,59.4
6.3,6.3,40,3,30.84
6.9,7.8,5,5,19.16
8.8,10.3,28,2,27.91
6.5,5.7,28,5,22.13
8.2,7.8,43,5,5.16
7.6,3.0,53,5,20.01
1.0,6.3,54,3,3.7
7.6,7.6,18,1,47.42
8.4,7.4,38,4,38.11
18.9,2.3,46,5,95.14
8.0,7.7,41,5,16.91
6.9,7.5,15,1,48.13
6.6,7.7,7,1,54.5
7.5,7.1,31,3,30.97
15.1,9.0,48,2,65.46
8.2,7.7,54,3,27.45
6.2,6.7,48,1,34.42
17.8,6.2,33,5,73.39
1.6,6.8,27,5,0.0
2.3,7.2,25,5,0.0
6.6,6.6,12,4,29.42
11.0,7.6,40,4,39.7
9.9,7.9,25,2,54.73
2.4,6.6,28,2,16.12
6.0,10.3,16,5,11.91
7.2,7.6,52,2,20.84
8.1,8.8,23,2,35.28
6.6,7.1,43,5,6.25
19.5,3.9,23,1,100.0
9.1,6.7,53,1,55.9
8.2,6.0,39,4,38.59
8.0,3.9,40,4,32.1
8.2,7.6,9,3,42.68
11.2,8.5,15,3,52.03
12.1,12.4,10,1,66.33
18.6,7.2,29,4,93.72
18.6,14.6,56,2,50.81
13.4,3.1,60,1,97.1
8.5,6.5,16,4,40.25
8.0,7.6,20,4,29.02
12.1,8.7,19,5,30.45
6.4,14.9,55,3,0.0
8.0,6.4,46,1,58.44
6.3,6.6,50,1,36.26
8.5,6.7,47,2,41.48
8.1,2.2,55,4,49.94
6.8,6.5,5,3,28.39
4.5,7.6,57,3,2.72
19.8,6.4,38,2,100.0
19.0,8.5,38,2,100.0
12.5,8.9,49,4,44.33
6.3,8.7,59,1,18.09
16.5,8.3,44,1,87.87
7.4,7.7,35,5,12.72
6.3,4.2,60,1,42.56
9.0,3.2,57,2,55.93
9.5,12.3,14,1,39.08
6.6,6.8,13,3,26.17
8.5,6.1,48,4,34.67
15.1,7.5,59,5,48.04
1.6,6.1,10,1,19.31
8.9,6.3,34,5,18.31
8.2,6.5,25,5,24.88
9.3,11.7,58,2,19.0
8.0,2.3,33,1,77.88
5.4,10.5,30,3,8.38
6.8,6.2,39,4,21.78
7.5,2.2,27,1,64.54
8.3,11.1,52,2,14.37
9.9,7.5,29,1,58.96
7.4,2.7,38,2,51.28
12.1,11.9,13,2,37.63
6.0,9.7,49,3,7.85
6.4,11.2,12,2,21.41
9.9,6.6,56,5,29.93
18.7,5.7,37,3,98.53
7.4,10.8,24,5,3.01
13.0,9.2,54,3,44.23
18.3,7.4,21,4,95.17
7.2,13.2,20,3,0.0
7.9,3.8,19,5,45.41
3.8,13.4,17,2,0.0
1.5,6.1,9,2,17.29
6.0,11.1,42,2,7.35
10.0,7.7,18,3,46.41
8.2,4.2,53,3,45.02
6.5,3.3,56,5,29.51
16.1,6.6,22,4,76.4
10.3,6.4,38,4,37.51
8.1,14.7,15,3,7.97
9.0,6.5,38,1,61.77
8.8,6.6,45,3,30.41
8.5,14.4,20,3,22.09
8.4,7.7,44,4,29.14
7.9,7.3,26,4,27.43
7.5,7.6,39,5,18.27
9.7,4.3,28,1,72.79
8.8,10.8,22,2,36.12
6.9,5.7,51,4,26.14
9.1,12.7,6,1,38.9
7.2,6.7,21,1,50.66
9.2,7.1,38,5,24.41
6.5,9.6,5,2,28.87
8.7,13.3,28,5,0.0
7.9,11.5,31,1,15.86
2.9,14.2,58,5,0.0
8.7,4.2,18,2,59.19
1.6,14.2,44,3,0.0
9.9,6.7,6,4,48.02
9.9,11.0,15,2,46.41
9.4,7.0,36,5,22.76
7.3,6.3,9,4,32.13
6.0,8.2,30,3,22.67
6.7,3.1,42,5,40.56
11.4,5.4,11,4,62.74
11.8,6.3,39,4,39.6
9.0,7.8,32,4,32.16
6.8,4.5,16,3,42.47
9.9,6.8,29,3,46.95
5.3,6.1,39,3,21.85
9.3,6.1,35,2,58.08
6.9,9.6,18,1,39.13
18.6,2.9,46,1,100.0
13.0,11.1,34,1,55.69
16.8,6.2,43,1,100.0
5.7,12.7,26,3,0.48
2.6,6.5,37,1,12.4
9.5,7.7,57,3,30.96
3.1,7.5,34,5,0.69
10.9,4.1,48,3,65.92
13.6,5.8,28,2,75.81
4.4,7.2,27,1,25.82
6.5,3.2,12,3,51.36
8.5,6.2,5,5,29.66
7.4,8.0,55,4,15.45
12.3,6.1,52,5,37.98
9.8,10.3,52,1,44.4
8.3,6.4,9,2,49.37
15.6,10.2,17,3,65.4
13.8,6.3,60,3,62.15
11.7,11.6,36,4,22.73
9.9,5.2,29,2,59.45
9.1,6.6,44,3,43.33
9.1,6.9,55,3,27.85
6.7,5.0,29,3,38.85
6.7,2.4,47,4,39.33
8.4,6.6,56,1,46.44
8.0,7.9,50,4,20.68
8.1,4.2,56,4,21.18
18.4,7.2,10,5,81.07
10.0,7.9,16,3,35.5
2.8,6.4,20,1,36.83
6.6,14.8,46,5,0.0
7.3,7.0,30,3,33.9
8.7,2.6,47,3,55.96
8.7,6.1,57,4,23.74
7.8,7.6,59,2,25.16
6.2,3.2,30,5,30.74
11.6,7.8,55,4,37.19
9.3,14.9,26,5,0.0
8.8,4.8,31,3,48.97
6.8,10.1,20,4,0.0
17.5,12.6,13,1,67.96
9.2,6.6,16,3,49.53
7.8,4.1,57,5,32.23
6.5,6.4,7,1,54.17
8.8,6.0,18,5,24.17
7.5,3.4,18,3,41.64
7.0,13.4,23,1,27.82
7.7,6.4,27,3,43.85
6.0,6.7,29,3,18.57
7.9,7.3,24,4,31.38
15.0,2.6,56,3,93.01
15.6,14.6,14,2,62.06
15.8,7.7,25,1,91.67
9.8,13.2,11,3,8.84
8.1,6.3,18,2,41.29
3.7,11.1,13,1,5.92
6.1,7.5,37,3,29.56
7.1,6.9,5,4,35.45
6.1,13.9,58,1,0.0
16.3,11.9,20,3,62.91
7.7,6.0,58,1,40.48
2.9,11.5,40,4,0.0
18.6,8.2,47,1,100.0
9.8,6.1,15,2,52.23
8.0,6.0,28,5,31.14
18.1,6.3,9,4,81.15
4.0,12.9,55,1,0.0
6.2,7.4,9,1,40.81
8.1,9.2,30,2,36.62
9.5,10.1,14,1,40.7
8.4,6.6,20,1,52.18
9.3,5.7,34,2,47.45
7.3,7.3,46,3,25.97
5.2,4.2,10,5,29.82
6.4,7.6,26,2,30.14
6.6,7.1,5,2,45.3
7.6,13.4,60,2,1.12
6.5,11.0,22,3,24.17
5.2,12.9,21,5,0.0
8.7,10.3,22,5,6.64
19.9,7.9,59,1,100.0
4.7,13.2,39,2,0.0
8.1,6.2,23,3,40.25
6.6,6.8,13,3,24.49
3.2,7.8,18,3,2.94
4.3,7.1,43,2,20.29
9.2,7.8,13,4,38.05
7.3,5.6,11,4,30.99
8.3,3.2,21,2,65.79
14.7,7.0,8,1,99.28
9.0,7.5,8,1,57.72
9.3,8.5,58,1,41.78
8.7,4.0,29,3,52.75
9.0,12.5,43,3,22.72
18.3,13.3,17,5,47.85
11.9,7.8,47,3,53.36
9.7,4.4,55,3,61.15
6.0,7.1,44,3,30.4
16.6,6.2,18,1,95.45
7.7,8.4,42,4,25.35
8.1,7.6,58,1,38.12
2.8,9.3,31,5,0.0
6.3,14.1,58,2,0.0
6.5,6.6,58,2,31.77
9.2,8.9,15,5,18.16
12.1,7.3,11,3,67.06
9.4,7.7,32,1,52.83
7.3,3.2,20,4,39.65
6.4,10.2,32,5,0.0
9.2,7.7,35,1,54.15
17.0,7.1,26,1,100.0
3.0,7.8,60,1,14.6
5.6,14.2,13,1,8.57
14.9,10.4,41,1,65.1
9.4,7.9,35,2,41.59
6.9,7.3,35,3,14.95
7.9,6.6,25,5,14.67
7.0,11.6,60,3,9.7
18.0,14.3,9,3,61.3
16.3,5.8,50,3,85.47
16.1,7.4,23,5,77.14
17.4,7.0,25,3,80.4
7.0,7.2,34,1,39.81
7.9,4.9,41,3,35.19
7.6,6.5,17,4,28.74
9.4,6.9,55,4,28.76
15.1,7.0,55,1,72.81
11.0,6.1,5,4,46.41
8.8,7.3,10,4,40.22
7.1,2.4,48,2,53.44
6.5,9.2,23,3,22.19
7.2,7.3,27,1,47.05
10.0,14.3,34,2,14.63
8.2,13.4,23,1,20.77
6.7,10.3,18,2,15.55
9.8,11.6,11,1,37.07
7.6,6.3,53,1,47.55
9.7,13.5,49,4,8.54
9.3,10.2,14,5,19.45
7.1,13.7,36,4,0.0
11.4,6.1,58,2,59.06
7.7,4.2,18,3,53.04
5.2,12.0,55,3,0.0
10.0,6.4,44,2,47.33
15.5,9.0,21,4,64.5
8.4,6.4,43,3,25.77
19.3,4.5,18,4,100.0
6.2,11.3,6,5,0.0
8.3,10.5,49,2,27.17
10.9,14.9,17,4,8.44
6.4,4.4,17,1,64.65
7.5,3.2,45,3,54.77
11.5,7.9,60,1,53.54
19.4,6.7,25,3,99.8
8.2,11.2,31,2,21.38
8.3,7.0,34,2,46.09
7.8,10.6,35,4,17.91
8.8,13.0,28,2,14.44
19.4,9.1,51,2,82.43
7.2,2.0,55,2,57.62
8.2,6.6,32,1,57.92
18.8,7.6,14,1,100.0
9.8,6.1,50,2,61.21
6.6,9.7,33,3,17.91
17.8,6.5,38,2,93.14
7.8,8.2,23,3,30.65
7.1,7.4,21,4,23.5
7.0,12.6,57,5,0.0
9.7,13.9,38,1,26.11
13.5,7.5,18,1,68.63
7.9,11.3,32,4,5.35
6.8,6.7,15,4,28.97
8.8,6.5,58,3,35.71
10.0,7.1,42,1,53.9
9.4,7.7,44,5,24.8
9.1,3.9,53,2,57.19
9.7,12.2,58,2,32.28
16.3,7.0,11,5,78.98
6.1,10.4,22,2,21.77
6.3,8.3,37,1,33.38
6.6,6.3,15,5,13.28
9.9,2.4,45,3,64.28
9.2,6.6,53,4,34.7
9.4,8.9,24,3,33.91
8.1,7.8,46,1,37.83
9.2,11.9,43,4,9.69
8.1,3.6,59,4,27.61
4.4,7.3,22,1,24.12
8.9,4.5,46,2,49.61
9.1,7.9,54,1,24.87
10.7,7.3,19,3,57.23
11.5,7.8,39,5,29.16
7.3,7.5,8,5,18.49
9.7,6.3,42,1,53.5
8.9,10.3,39,2,20.6
16.8,6.7,50,3,80.64
7.7,5.5,43,5,15.33
8.1,8.3,48,1,29.71
16.0,14.4,47,1,58.96
15.2,6.5,32,2,82.64
19.2,7.6,42,2,87.87
16.6,7.0,28,3,76.89
18.1,6.2,10,2,100.0
7.0,5.0,34,2,43.21
8.1,6.1,38,2,48.56
14.2,10.1,9,2,62.04
7.7,7.1,15,4,33.51
9.0,6.9,13,3,39.8
12.2,5.2,17,2,75.09
6.6,2.8,21,4,44.03
7.7,6.0,50,2,46.06
10.0,4.3,59,1,57.75
6.1,7.2,47,2,25.38
8.3,6.3,59,5,19.68
7.5,6.3,60,2,30.87
19.8,7.3,12,4,87.37
7.3,15.0,55,3,0.0
8.8,7.9,31,2,43.28
6.1,11.6,6,3,8.78
6.9,4.4,23,5,21.91
6.6,14.7,43,1,7.61
13.5,7.4,35,1,70.98
17.8,3.2,55,4,89.7
9.0,13.9,47,5,0.0
7.3,9.8,26,2,25.58
5.9,6.7,15,3,30.36
13.3,8.1,18,5,50.56
6.2,6.5,20,1,45.93
7.3,3.1,34,4,34.62
4.4,7.0,38,4,6.37
6.4,6.4,58,4,0.0
8.0,2.9,18,1,65.61
8.6,7.7,36,3,39.08
8.1,6.4,58,3,25.76
7.3,3.0,39,5,32.98
8.9,6.8,40,3,25.74
8.4,14.9,30,1,14.08
17.5,2.2,16,5,93.03
9.1,7.2,57,3,30.03
8.0,4.0,12,1,63.32
6.2,13.4,29,3,0.0
7.7,12.2,27,4,0.0
13.0,6.1,9,2,84.49
8.5,3.5,17,2,68.56
10.5,6.0,20,3,49.86
6.9,7.9,35,2,28.35
8.4,3.1,54,5,33.14
8.6,14.7,11,4,9.23
8.6,11.7,43,4,10.39
7.2,13.0,36,2,4.71
14.6,5.1,51,2,78.71
8.1,13.4,43,1,14.98
5.4,7.6,37,5,15.26
9.5,6.7,34,4,23.63
14.0,14.3,59,1,43.1
7.4,5.2,20,4,35.71
8.1,12.0,42,1,27.8
6.5,6.5,29,1,34.36
6.1,10.1,49,2,12.13
8.7,5.4,36,4,42.08
7.8,13.2,29,5,0.0
9.3,13.0,40,1,26.19
4.9,2.2,51,1,47.02
6.9,7.0,40,1,33.12
7.4,8.5,44,3,20.68
7.3,12.5,7,1,30.45
8.2,6.8,49,1,50.54
1.9,5.1,40,5,0.0
8.2,7.1,47,1,51.1
6.3,12.8,50,1,3.05
9.8,6.2,13,4,58.11
6.1,6.3,22,1,56.11
9.7,8.0,43,1,43.03
7.0,5.1,37,5,20.24
